	tetracycline_efflux_MFS_transporter_Tet(B)	tetracycline_repressor_protein_class_A(tetR)	tetracycline_efflux_MFS_transporter_Tet(G)	tetracycline_resistance_transcriptional_repressor_TetR(G)	tetracycline_efflux_MFS_transporter_Tet(D)	Group
HenanCDC_SMHBRJ2022048	0	1	0	0	0	R
HenanCDC_SMHBRJ2022049	0	1	0	0	0	R
HenanCDC_SMHBRJ2022051-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022052-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022053-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022054	0	1	0	0	0	R
HenanCDC_SMHBRJ2022059	0	1	0	0	0	R
HenanCDC_SMHBRJ2022060	0	1	0	0	0	R
HenanCDC_SMHBRJ2022084-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022084-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022085	0	1	0	0	0	R
HenanCDC_SMHBRJ2022086	0	1	0	0	0	R
HenanCDC_SMHBRJ2022087-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022088	0	1	0	0	0	R
HenanCDC_SMHBRJ2022089-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022089-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022090	0	1	0	0	0	R
HenanCDC_SMHBRJ2022091-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022091-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022093-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022093-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022093-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022093-4	0	1	0	0	0	R
HenanCDC_SMHBRJ2022094-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022094-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022095	0	1	0	0	0	R
HenanCDC_SMHBRJ2022096-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022096-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022098-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022098-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022099-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022099-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022099-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022100-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022100-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022102-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022102-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022102-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022102-4	0	1	0	0	0	R
HenanCDC_SMHBRJ2022104	0	1	0	0	0	R
HenanCDC_SMHBRJ2022106	0	1	0	0	0	R
HenanCDC_SMHBRJ2022107-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022107-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022109	0	1	0	0	0	R
HenanCDC_SMHBRJ2022110	0	1	0	0	0	R
HenanCDC_SMHBRJ2022111-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022112-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022113-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022114-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022114-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022115-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022116	0	1	0	0	0	R
HenanCDC_SMHBRJ2022121	0	1	0	0	0	R
HenanCDC_SMHBRJ2022122	0	1	0	0	0	R
HenanCDC_SMHBRJ2022123	0	1	0	0	0	R
HenanCDC_SMHBRJ2022124	0	1	0	0	0	R
HenanCDC_SMHBRJ2022125	0	1	0	0	0	R
HenanCDC_SMHBRJ2022126	0	1	0	0	0	R
HenanCDC_SMHBRJ2022128-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022128-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022129-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022129-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022131	0	1	0	0	0	R
HenanCDC_SMHBRJ2022132-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022132-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022132-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022134-1	0	1	0	0	0	R
HenanCDC_SMHBRJ2022134-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022134-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022135-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022135-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022137-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022137-3	0	1	0	0	0	R
HenanCDC_SMHBRJ2022137-4	0	1	0	0	0	R
HenanCDC_SMHBRJ2022142-2	0	1	0	0	0	R
HenanCDC_SMHBRJ2022143	0	1	0	0	0	R
HenanCDC_SMHBRJ2022144	0	1	0	0	0	R
HenanCDC_SMHBRJ2022145	0	1	0	0	0	R
HenanCDC_SMHBRJ2022153	0	1	0	0	0	R
HenanCDC_SMHBS2022003-2	1	0	0	0	0	R
HenanCDC_SMJY2022001	0	1	0	0	0	R
HenanCDC_SMJY2022002	0	1	0	0	0	R
HenanCDC_SMJZ2022002	0	1	0	0	0	R
HenanCDC_SMJZ2022003	0	0	0	0	0	R
HenanCDC_SMJZ2022004	0	1	0	0	0	R
HenanCDC_SMJZ2022005	0	1	0	0	0	R
HenanCDC_SMJZ2022008	0	1	0	0	0	R
HenanCDC_SMJZ2022014	0	1	0	0	0	R
HenanCDC_SMJZ2022015	0	1	0	0	0	R
HenanCDC_SMJZ2022020	0	1	0	0	0	R
HenanCDC_SMJZ2022032	0	1	0	0	0	R
HenanCDC_SMJZ2022042	0	1	0	0	0	R
HenanCDC_SMJZ2022043	0	1	0	0	0	R
HenanCDC_SMJZ2022045	0	1	0	0	0	R
HenanCDC_SMJZ2022047	0	1	0	0	0	R
HenanCDC_SMJZ2022051	0	0	0	0	0	R
HenanCDC_SMJZ2022065	0	1	0	0	0	R
HenanCDC_SMJZ2022068	0	1	0	0	0	R
HenanCDC_SMJZ2022069	0	1	0	0	0	R
HenanCDC_SMKF2022045	0	1	0	0	0	R
HenanCDC_SMKF2022050	0	1	0	0	0	R
HenanCDC_SMKF2022051	0	1	0	0	0	R
HenanCDC_SMKF2022053	0	1	0	0	0	R
HenanCDC_SMKF2022056	0	1	0	0	0	R
HenanCDC_SMKF2022066	0	1	0	0	0	R
HenanCDC_SMKF2022090	0	1	0	0	0	R
HenanCDC_SMKFS2022007-3	1	0	0	0	0	R
HenanCDC_SMLH2022042	0	1	0	0	0	R
