	extended-spectrum_class_A_beta-lactamase_CTX-M-55	extended-spectrum_class_A_beta-lactamase_CTX-M-65	extended-spectrum_class_A_beta-lactamase_CTX-M-14	quinolone_resistance_pentapeptide_repeat_protein_QnrB22	class_C_beta-lactamase_CMY-2	macrolide_resistance_MFS_transporter_Mrx(A)	extended-spectrum_class_A_beta-lactamase_CTX-M-123	MBL_fold_metallo-hydrolase(WP_001522969.1)	extended-spectrum_class_A_beta-lactamase_CTX-M-64	sulfonamide-resistant_dihydropteroate_synthase_Sul1	Group
HenanCDC_SMJZ2022032	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMJZ2022042	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMJZ2022044	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMJZ2022045	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMJZ2022047	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMJZ2022065	0	1	0	0	0	0	0	0	0	1	R
HenanCDC_SMKF2022051	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMKF2022052	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMKF2022053	0	0	0	0	0	0	0	0	1	1	R
HenanCDC_SMKF2022056	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMKF2022066	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMKF2022090	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMLH2022046	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMLH2022049	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMLH2022055	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMNY2022003	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMNY2022004	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMNY2022036	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMNY2022079	0	0	0	0	0	0	0	1	0	0	R
HenanCDC_SMNYS2022009-2	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPDS2022013	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMPDS2022031	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPDS2022032	0	0	1	0	0	0	0	0	0	1	R
HenanCDC_SMPDS2022070	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMPDS2022071	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMPDS2022072	1	0	0	0	0	0	0	0	0	1	R
HenanCDC_SMPDS2022075	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPDS2022077	1	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPDS2022078	0	0	1	0	0	0	0	0	0	1	R
HenanCDC_SMPDS2022080	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPDS2022082	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022003-1	1	0	0	0	0	1	0	0	0	0	R
HenanCDC_SMPY2022003-2	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022012-1	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMPY2022012-2	0	1	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022013	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMPY2022018	1	0	0	0	0	1	0	0	0	1	R
HenanCDC_SMPY2022021	0	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022030-1	1	0	0	0	0	0	0	0	0	0	R
HenanCDC_SMPY2022030-2	0	1	0	0	0	0	0	0	0	0	R
